instant,dteday,season,yr,holiday,weekday,workingday,weathersit,casual,registered,cnt,time
1,2011-01-01,spring,2011,not holiday,6,weekday,good,3,13,16,night
2,2011-01-01,spring,2011,not holiday,6,weekday,good,8,32,40,night
3,2011-01-01,spring,2011,not holiday,6,weekday,good,5,27,32,night
4,2011-01-01,spring,2011,not holiday,6,weekday,good,3,10,13,night
5,2011-01-01,spring,2011,not holiday,6,weekday,good,0,1,1,night
6,2011-01-01,spring,2011,not holiday,6,weekday,moderate,0,1,1,Morning
7,2011-01-01,spring,2011,not holiday,6,weekday,good,2,0,2,Morning
8,2011-01-01,spring,2011,not holiday,6,weekday,good,1,2,3,Morning
9,2011-01-01,spring,2011,not holiday,6,weekday,good,1,7,8,Morning
10,2011-01-01,spring,2011,not holiday,6,weekday,good,8,6,14,Morning
11,2011-01-01,spring,2011,not holiday,6,weekday,good,12,24,36,Morning
12,2011-01-01,spring,2011,not holiday,6,weekday,good,26,30,56,Morning
13,2011-01-01,spring,2011,not holiday,6,weekday,good,29,55,84,Afternoon
14,2011-01-01,spring,2011,not holiday,6,weekday,moderate,47,47,94,Afternoon
15,2011-01-01,spring,2011,not holiday,6,weekday,moderate,35,71,106,Afternoon
16,2011-01-01,spring,2011,not holiday,6,weekday,moderate,40,70,110,Afternoon
17,2011-01-01,spring,2011,not holiday,6,weekday,moderate,41,52,93,Afternoon
18,2011-01-01,spring,2011,not holiday,6,weekday,moderate,15,52,67,Evening
19,2011-01-01,spring,2011,not holiday,6,weekday,bad,9,26,35,Evening
20,2011-01-01,spring,2011,not holiday,6,weekday,bad,6,31,37,Evening
21,2011-01-01,spring,2011,not holiday,6,weekday,moderate,11,25,36,Evening
22,2011-01-01,spring,2011,not holiday,6,weekday,moderate,3,31,34,night
23,2011-01-01,spring,2011,not holiday,6,weekday,moderate,11,17,28,night
24,2011-01-01,spring,2011,not holiday,6,weekday,moderate,15,24,39,night
25,2011-01-02,spring,2011,not holiday,0,weekday,moderate,4,13,17,night
26,2011-01-02,spring,2011,not holiday,0,weekday,moderate,1,16,17,night
27,2011-01-02,spring,2011,not holiday,0,weekday,moderate,1,8,9,night
28,2011-01-02,spring,2011,not holiday,0,weekday,moderate,2,4,6,night
29,2011-01-02,spring,2011,not holiday,0,weekday,moderate,2,1,3,night
30,2011-01-02,spring,2011,not holiday,0,weekday,bad,0,2,2,Morning
31,2011-01-02,spring,2011,not holiday,0,weekday,moderate,0,1,1,Morning
32,2011-01-02,spring,2011,not holiday,0,weekday,bad,0,8,8,Morning
33,2011-01-02,spring,2011,not holiday,0,weekday,moderate,1,19,20,Morning
34,2011-01-02,spring,2011,not holiday,0,weekday,moderate,7,46,53,Morning
35,2011-01-02,spring,2011,not holiday,0,weekday,moderate,16,54,70,Morning
36,2011-01-02,spring,2011,not holiday,0,weekday,moderate,20,73,93,Afternoon
37,2011-01-02,spring,2011,not holiday,0,weekday,moderate,11,64,75,Afternoon
38,2011-01-02,spring,2011,not holiday,0,weekday,bad,4,55,59,Afternoon
39,2011-01-02,spring,2011,not holiday,0,weekday,bad,19,55,74,Afternoon
40,2011-01-02,spring,2011,not holiday,0,weekday,bad,9,67,76,Afternoon
41,2011-01-02,spring,2011,not holiday,0,weekday,good,7,58,65,Evening
42,2011-01-02,spring,2011,not holiday,0,weekday,moderate,10,43,53,Evening
43,2011-01-02,spring,2011,not holiday,0,weekday,good,1,29,30,Evening
44,2011-01-02,spring,2011,not holiday,0,weekday,good,5,17,22,Evening
